id,name,description,price,old_price,category_id,brand_id,brand,image_url,images,tags,details,featured,active,new,sku,store_reference,material,weight,dimensions,rating,reviews_count,created_at,updated_at,_actiontype,variants
3,Pull Col Rond Maille,"Pull à col rond confectionné en coton Sea Island, avec détail en forme de verre de lunette. Le coton Sea Island est reconnu comme une matière de qualité supérieure caractérisée par sa brillance, sa douceur et sa durabilité, même après un usage prolongé. Jauge 14. Coupe régulière.",250.00,,10,1,C.P.COMPANY,"",,"{""THE CORNER"",C.P.COMPANY}","{"" Coupe régulière"",""Maille jauge 14"",""Poignets et ourlets côtelés"",""Coutures contrastantes aux emmanchures""}",f,t,f,18CMOW006A,18026A4037A,,,,,0,2025-04-30 11:35:33.47665+00,2025-05-02 14:51:39.553854+00,,"[{""size"": ""M"", ""color"": ""Blanc"", ""stock"": 3}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 3}, {""size"": ""XL"", ""color"": ""Blanc"", ""stock"": 5}, {""size"": ""XXL"", ""color"": ""Blanc"", ""stock"": 1}, {""size"": ""XXXL"", ""color"": ""Blanc"", ""stock"": 1}, {""size"": ""S"", ""color"": ""Orange"", ""stock"": 3}, {""size"": ""M"", ""color"": ""Orange"", ""stock"": 4}, {""size"": ""L"", ""color"": ""Orange"", ""stock"": 5}, {""size"": ""XL"", ""color"": ""Orange"", ""stock"": 4}, {""size"": ""XXL"", ""color"": ""Orange"", ""stock"": 3}, {""size"": ""XXXL"", ""color"": ""Orange"", ""stock"": 1}, {""size"": ""S"", ""color"": ""Kaki"", ""stock"": 3}, {""size"": ""M"", ""color"": ""Kaki"", ""stock"": 7}, {""size"": ""L"", ""color"": ""Kaki"", ""stock"": 5}, {""size"": ""XL"", ""color"": ""Kaki"", ""stock"": 9}, {""size"": ""XXL"", ""color"": ""Kaki"", ""stock"": 2}, {""size"": ""XXXL"", ""color"": ""Kaki"", ""stock"": 2}, {""size"": ""S"", ""color"": ""Bleu"", ""stock"": 2}, {""size"": ""M"", ""color"": ""Bleu"", ""stock"": 2}, {""size"": ""L"", ""color"": ""Bleu"", ""stock"": 2}, {""size"": ""XL"", ""color"": ""Bleu"", ""stock"": 4}, {""size"": ""XXL"", ""color"": ""Bleu"", ""stock"": 3}, {""size"": ""S"", ""color"": ""Bleu Acier"", ""stock"": 3}, {""size"": ""M"", ""color"": ""Bleu Acier"", ""stock"": 3}, {""size"": ""L"", ""color"": ""Bleu Acier"", ""stock"": 2}, {""size"": ""XL"", ""color"": ""Bleu Acier"", ""stock"": 3}, {""size"": ""XXL"", ""color"": ""Bleu Acier"", ""stock"": 3}, {""size"": ""S"", ""color"": ""Bleu Marine"", ""stock"": 3}, {""size"": ""M"", ""color"": ""Bleu Marine"", ""stock"": 2}, {""size"": ""L"", ""color"": ""Bleu Marine"", ""stock"": 5}, {""size"": ""XL"", ""color"": ""Bleu Marine"", ""stock"": 5}, {""size"": ""XXL"", ""color"": ""Bleu Marine"", ""stock"": 2}, {""size"": ""XXXL"", ""color"": ""Bleu Marine"", ""stock"": 2}, {""size"": ""S"", ""color"": ""Noir"", ""stock"": 4}, {""size"": ""M"", ""color"": ""Noir"", ""stock"": 3}, {""size"": ""L"", ""color"": ""Noir"", ""stock"": 8}, {""size"": ""XL"", ""color"": ""Noir"", ""stock"": 8}, {""size"": ""XXL"", ""color"": ""Noir"", ""stock"": 2}, {""size"": ""XXXL"", ""color"": ""Noir"", ""stock"": 1}]"
2,Veste Pro-Tek Capuche,"Veste à capuche confectionnée en Pro-Tek, un polyester stretch mécanique qui combine l’épaisseur et le confort d’un sweat-shirt aux fonctions protectrices d’un vêtement d’extérieur. Coupe-vent et traitement anti-goutte. Détail en forme de verre de lunette. Coupe régulière.",380.00,,6,1,C.P.COMPANY,"",,"{""THE CORNER"",C.P.COMPANY}","{""Capuche réglable"",""Fermeture bidirectionnelle entièrement zippée"",""Poches zippées latérales"",""Détail en forme de verre de lunette"",""Poignets à boutons réglables"",""Ourlets à cordons de serrage réglables"",""Coupe régulière""}",f,t,f,18CMOW006A,18006A0264A,,,,,0,2025-04-30 11:16:46.198407+00,2025-05-02 14:26:39.412028+00,,"[{""size"": ""S"", ""color"": ""Kaki"", ""stock"": 2}, {""size"": ""M"", ""color"": ""Kaki"", ""stock"": 5}, {""size"": ""L"", ""color"": ""Kaki"", ""stock"": 1}, {""size"": ""XL"", ""color"": ""Kaki"", ""stock"": 4}, {""size"": ""XXL"", ""color"": ""Kaki"", ""stock"": 2}, {""size"": ""XXXL"", ""color"": ""Kaki"", ""stock"": 1}, {""size"": ""S"", ""color"": ""Bleu Acier"", ""stock"": 4}, {""size"": ""M"", ""color"": ""Bleu Acier"", ""stock"": 2}, {""size"": ""L"", ""color"": ""Bleu Acier"", ""stock"": 3}, {""size"": ""XL"", ""color"": ""Bleu Acier"", ""stock"": 4}, {""size"": ""XXL"", ""color"": ""Bleu Acier"", ""stock"": 2}, {""size"": ""XXXL"", ""color"": ""Bleu Acier"", ""stock"": 1}, {""size"": ""S"", ""color"": ""Noir"", ""stock"": 3}, {""size"": ""M"", ""color"": ""Noir"", ""stock"": 4}, {""size"": ""L"", ""color"": ""Noir"", ""stock"": 3}, {""size"": ""XL"", ""color"": ""Noir"", ""stock"": 4}, {""size"": ""XXL"", ""color"": ""Noir"", ""stock"": 2}, {""size"": ""XXXL"", ""color"": ""Noir"", ""stock"": 2}]"
4,Pantalon Jogging,null,220.00,,27,1,C.P.COMPANY,"",,"{""THE CORNER"",C.P.COMPANY}",,f,t,f,not found,18100A0044G,,,,,0,2025-04-30 11:43:23.554705+00,2025-05-02 14:36:57.806907+00,,"[{""size"": ""XL"", ""color"": ""Blanc"", ""stock"": 1}, {""size"": ""XS"", ""color"": ""Kaki"", ""stock"": 2}, {""size"": ""S"", ""color"": ""Kaki"", ""stock"": 4}, {""size"": ""M"", ""color"": ""Kaki"", ""stock"": 4}, {""size"": ""L"", ""color"": ""Kaki"", ""stock"": 4}, {""size"": ""XL"", ""color"": ""Kaki"", ""stock"": 3}, {""size"": ""XXL"", ""color"": ""Kaki"", ""stock"": 2}, {""size"": ""XXXL"", ""color"": ""Kaki"", ""stock"": 1}, {""size"": ""XS"", ""color"": ""Noir"", ""stock"": 3}, {""size"": ""S"", ""color"": ""Noir"", ""stock"": 3}, {""size"": ""M"", ""color"": ""Noir"", ""stock"": 4}, {""size"": ""L"", ""color"": ""Noir"", ""stock"": 5}, {""size"": ""XL"", ""color"": ""Noir"", ""stock"": 4}, {""size"": ""XXL"", ""color"": ""Noir"", ""stock"": 1}, {""size"": ""XXXL"", ""color"": ""Noir"", ""stock"": 1}]"
1,PULL MAILLE CAPUCHE,"Pull à capuche confectionné en coton Sea Island, avec détail en forme de verre de lunette. Le coton Sea Island est reconnu comme une matière de qualité supérieure caractérisée par sa brillance, sa douceur et sa durabilité, même après un usage prolongé. Jauge 14. Coupe régulière.

",315.00,,10,1,C.P.COMPANY,"",,"{""THE CORNER"",C.P.COMPANY}","{"" Coupe régulière"",""Maille jauge 14"",""Poignets et ourlets côtelés"",""Coutures contrastantes aux emmanchures""}",f,t,f,18CMKN074A,18074A4037A,,,,,0,2025-04-28 10:52:00.846711+00,2025-05-02 13:57:10.295139+00,,"[{""size"": ""S"", ""color"": ""Blanc"", ""stock"": 3}, {""size"": ""M"", ""color"": ""Blanc"", ""stock"": 9}, {""size"": ""L"", ""color"": ""Blanc"", ""stock"": 8}, {""size"": ""XL"", ""color"": ""Blanc"", ""stock"": 9}, {""size"": ""XXL"", ""color"": ""Blanc"", ""stock"": 1}, {""size"": ""S"", ""color"": ""Orange"", ""stock"": 3}, {""size"": ""M"", ""color"": ""Orange"", ""stock"": 4}, {""size"": ""L"", ""color"": ""Orange"", ""stock"": 3}, {""size"": ""XL"", ""color"": ""Orange"", ""stock"": 3}, {""size"": ""XXL"", ""color"": ""Orange"", ""stock"": 1}, {""size"": ""S"", ""color"": ""Kaki"", ""stock"": 5}, {""size"": ""M"", ""color"": ""Kaki"", ""stock"": 9}, {""size"": ""L"", ""color"": ""Kaki"", ""stock"": 8}, {""size"": ""XL"", ""color"": ""Kaki"", ""stock"": 9}, {""size"": ""XXL"", ""color"": ""Kaki"", ""stock"": 1}, {""size"": ""S"", ""color"": ""Bleu"", ""stock"": 3}, {""size"": ""M"", ""color"": ""Bleu"", ""stock"": 3}, {""size"": ""L"", ""color"": ""Bleu"", ""stock"": 5}, {""size"": ""XL"", ""color"": ""Bleu"", ""stock"": 4}, {""size"": ""XXL"", ""color"": ""Bleu"", ""stock"": 1}, {""size"": ""S"", ""color"": ""Bleu Acier"", ""stock"": 3}, {""size"": ""M"", ""color"": ""Bleu Acier"", ""stock"": 4}, {""size"": ""L"", ""color"": ""Bleu Acier"", ""stock"": 5}, {""size"": ""XL"", ""color"": ""Bleu Acier"", ""stock"": 4}, {""size"": ""XXL"", ""color"": ""Bleu Acier"", ""stock"": 1}, {""size"": ""S"", ""color"": ""Bleu Marine"", ""stock"": 6}, {""size"": ""M"", ""color"": ""Bleu Marine"", ""stock"": 10}, {""size"": ""L"", ""color"": ""Bleu Marine"", ""stock"": 10}, {""size"": ""XL"", ""color"": ""Bleu Marine"", ""stock"": 10}, {""size"": ""XXL"", ""color"": ""Bleu Marine"", ""stock"": 1}, {""size"": ""S"", ""color"": ""Noir"", ""stock"": 6}, {""size"": ""M"", ""color"": ""Noir"", ""stock"": 9}, {""size"": ""L"", ""color"": ""Noir"", ""stock"": 9}, {""size"": ""XL"", ""color"": ""Noir"", ""stock"": 10}, {""size"": ""XXL"", ""color"": ""Noir"", ""stock"": 1}]"
